Terms,Freq,Posting,Compress Posting,Gamma Code
tecla,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
teclado,28,"[9, 10, 11, 12, 13, 14, 15, 16, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[9, 1, 1, 1, 1, 1, 1, 1, 66, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 1111110000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
tecnologia,16,"[9, 10, 11, 12, 13, 14, 15, 16, 64, 65, 66, 67, 68, 69, 70, 75]","[9, 1, 1, 1, 1, 1, 1, 1, 48, 1, 1, 1, 1, 1, 1, 5]","[1110001, 0, 0, 0, 0, 0, 0, 0, 11111010000, 0, 0, 0, 0, 0, 0, 11001]"
teen,7,"[64, 65, 66, 67, 68, 69, 70]","[64, 1, 1, 1, 1, 1, 1]","[1111110000000, 0, 0, 0, 0, 0, 0]"
tela,14,"[0, 1, 3, 4, 5, 7, 69, 83, 84, 85, 88, 89, 91, 94]","[0, 1, 2, 1, 1, 2, 62, 14, 1, 1, 3, 1, 2, 3]","[0, 0, 100, 0, 0, 100, 11111011110, 1110110, 0, 0, 101, 0, 100, 101]"
telefone,29,"[9, 10, 11, 12, 13, 14, 15, 16, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 83]","[9, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 25]","[1110001, 0, 0, 0, 0, 0, 0, 0, 1110011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101001]"
telefonia,28,"[10, 49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[10, 39, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110010, 11111000111, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
televendas,41,"[9, 10, 11, 12, 13, 14, 15, 16, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]","[9, 1, 1, 1, 1, 1, 1, 1, 33, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 11111000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
tema,14,"[0, 3, 4, 11, 38, 48, 53, 56, 57, 64, 74, 76, 77, 100]","[0, 3, 1, 7, 27, 10, 5, 3, 1, 7, 10, 2, 1, 23]","[0, 101, 0, 11011, 111101011, 1110010, 11001, 101, 0, 11011, 1110010, 100, 0, 111100111]"
tempo,37,"[3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 23, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 55, 56, 59, 62, 69, 70, 78, 82, 83, 89, 91, 94, 95, 98, 100]","[3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 7, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 19, 1, 3, 3, 7, 1, 8, 4, 1, 6, 2, 3, 1, 3, 2]","[101, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 11011, 11000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100011, 0, 101, 101, 11011, 0, 1110000, 11000, 0, 11010, 100, 101, 0, 101, 100]"
temporariamente,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
tendo,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 48, 71]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 40, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 11111001000, 111100111]"
tennis,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
tentar,4,"[6, 7, 11, 18]","[6, 1, 4, 7]","[11010, 0, 11000, 11011]"
tente,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
teoria,7,"[4, 7, 11, 39, 46, 64, 101]","[4, 3, 4, 28, 7, 18, 37]","[11000, 101, 11000, 111101100, 11011, 111100010, 11111000101]"
terapia,5,"[42, 49, 64, 69, 87]","[42, 7, 15, 5, 18]","[11111001010, 11011, 1110111, 11001, 111100010]"
termos,38,"[9, 10, 11, 12, 13, 14, 15, 16, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[9, 1, 1, 1, 1, 1, 1, 1, 33, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 11111000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
terra,10,"[3, 14, 69, 85, 87, 90, 93, 94, 95, 96]","[3, 11, 55, 16, 2, 3, 3, 1, 1, 1]","[101, 1110011, 11111010111, 111100000, 100, 101, 101, 0, 0, 0]"
terrestre,7,"[64, 65, 66, 67, 68, 69, 70]","[64, 1, 1, 1, 1, 1, 1]","[1111110000000, 0, 0, 0, 0, 0, 0]"
territoriais,1,[35],[35],[11111000011]
terror,30,"[3, 6, 9, 10, 11, 12, 13, 14, 15, 16, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 64, 65, 66, 67, 68, 69, 70, 83]","[3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 21, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 16, 1, 1, 1, 1, 1, 1, 13]","[101, 101, 101, 0, 0, 0, 0, 0, 0, 0, 111100101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100000, 0, 0, 0, 0, 0, 0, 1110101]"
terry,4,"[5, 9, 17, 95]","[5, 4, 8, 78]","[11001, 11000, 1110000, 1111110001110]"
terrível,4,"[6, 7, 9, 83]","[6, 1, 2, 74]","[11010, 0, 100, 1111110001010]"
teste,8,"[0, 1, 3, 4, 5, 6, 7, 8]","[0, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 100, 0, 0, 0, 0, 0]"
teto,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
tetrix,7,"[49, 52, 53, 55, 56, 57, 58]","[49, 3, 1, 2, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0]"
texto,13,"[1, 4, 6, 8, 10, 24, 38, 44, 56, 58, 69, 96, 100]","[1, 3, 2, 2, 2, 14, 14, 6, 12, 2, 11, 27, 4]","[0, 101, 100, 100, 100, 1110110, 1110110, 11010, 1110100, 100, 1110011, 111101011, 11000]"
theater,27,"[49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[49, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
things,6,"[82, 87, 89, 92, 94, 96]","[82, 5, 2, 3, 2, 2]","[1111110010010, 11001, 100, 101, 100, 100]"
thomas,3,"[10, 18, 37]","[10, 8, 19]","[1110010, 1110000, 111100011]"
thrones,9,"[64, 65, 66, 67, 68, 69, 70, 85, 96]","[64, 1, 1, 1, 1, 1, 1, 15, 11]","[1111110000000, 0, 0, 0, 0, 0, 0, 1110111, 1110011]"
tiete,11,"[71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]","[71, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110000111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
time,16,"[3, 9, 10, 11, 12, 13, 14, 15, 16, 50, 73, 82, 83, 84, 92, 93]","[3, 6, 1, 1, 1, 1, 1, 1, 1, 34, 23, 9, 1, 1, 8, 1]","[101, 11010, 0, 0, 0, 0, 0, 0, 0, 11111000010, 111100111, 1110001, 0, 0, 1110000, 0]"
timothy,2,"[13, 16]","[13, 3]","[1110101, 101]"
tipo,38,"[5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 55, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 96, 97, 98, 99, 100]","[5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 39, 16, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1]","[11001, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 11111000111, 111100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11001, 0, 0, 0, 0]"
tire,10,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]","[49, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
titulo,10,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[17, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111100001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
toda,75,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 66, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 21, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 11000, 11000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
todo,69,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 45, 49, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 76, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 19, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100011, 11000, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11010, 11010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
toledo,9,"[59, 60, 61, 62, 63, 64, 67, 68, 70]","[59, 1, 1, 1, 1, 1, 3, 1, 2]","[11111011011, 0, 0, 0, 0, 0, 101, 0, 100]"
toners,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
tonic,7,"[49, 52, 53, 55, 56, 57, 58]","[49, 3, 1, 2, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0]"
tons,7,"[82, 85, 86, 87, 90, 91, 93]","[82, 3, 1, 1, 3, 1, 2]","[1111110010010, 101, 0, 0, 101, 0, 100]"
topo,13,"[13, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]","[13, 46, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110101, 11111001110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
toque,2,"[5, 15]","[5, 10]","[11001, 1110010]"
tornar,6,"[18, 22, 61, 83, 85, 101]","[18, 4, 39, 22, 2, 16]","[111100010, 11000, 11111000111, 111100110, 100, 111100000]"
tornou,6,"[4, 9, 12, 14, 19, 90]","[4, 5, 3, 2, 5, 71]","[11000, 11001, 101, 100, 11001, 1111110000111]"
toro,1,[94],[94],[1111110011110]
torradeiras,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
torre,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 52, 83]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 44, 31]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 11111001100, 111101111]"
total,31,"[0, 1, 3, 4, 5, 6, 7, 8, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 84, 85, 100]","[0, 1, 2, 1, 1, 1, 1, 1, 19, 1, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 1, 15]","[0, 0, 100, 0, 0, 0, 0, 0, 111100011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101010, 0, 1110111]"
tote,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
toys,8,"[64, 65, 66, 67, 68, 69, 70, 87]","[64, 1, 1, 1, 1, 1, 1, 17]","[1111110000000, 0, 0, 0, 0, 0, 0, 111100001]"
toyster,7,"[64, 65, 66, 67, 68, 69, 70]","[64, 1, 1, 1, 1, 1, 1]","[1111110000000, 0, 0, 0, 0, 0, 0]"
trabalhe,83,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
trabalhista,13,"[11, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[11, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110011, 111101010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
trabalho,17,"[1, 4, 7, 9, 10, 11, 12, 13, 51, 55, 56, 61, 79, 86, 95, 99, 101]","[1, 3, 3, 2, 1, 1, 1, 1, 38, 4, 1, 5, 18, 7, 9, 4, 2]","[0, 101, 101, 100, 0, 0, 0, 0, 11111000110, 11000, 0, 11001, 111100010, 11011, 1110001, 11000, 100]"
tradicional,3,"[11, 93, 100]","[11, 82, 7]","[1110011, 1111110010010, 11011]"
tradutor,15,"[3, 4, 5, 6, 9, 10, 12, 14, 18, 20, 22, 61, 62, 68, 70]","[3, 1, 1, 1, 3, 1, 2, 2, 4, 2, 2, 39, 1, 6, 2]","[101, 0, 0, 0, 101, 0, 100, 100, 11000, 100, 100, 11111000111, 0, 11010, 100]"
traduzido,9,"[9, 82, 83, 84, 86, 89, 91, 94, 95]","[9, 73, 1, 1, 2, 3, 2, 3, 1]","[1110001, 1111110001001, 0, 0, 100, 101, 100, 101, 0]"
tradução,14,"[4, 5, 7, 9, 20, 29, 33, 47, 53, 54, 55, 79, 80, 81]","[4, 1, 2, 2, 11, 9, 4, 14, 6, 1, 1, 24, 1, 1]","[11000, 0, 100, 100, 1110011, 1110001, 11000, 1110110, 11010, 0, 0, 111101000, 0, 0]"
tranchesi,12,"[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[37, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111000101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
tranquilo,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
transforma,3,"[13, 83, 100]","[13, 70, 17]","[1110101, 1111110000110, 111100001]"
trata,6,"[1, 8, 14, 23, 43, 88]","[1, 7, 6, 9, 20, 45]","[0, 11011, 11010, 1110001, 111100100, 11111001101]"
tratado,3,"[8, 26, 88]","[8, 18, 62]","[1110000, 111100010, 11111011110]"
tratamento,19,"[3, 48, 49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[3, 45, 1, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 11111001101, 0, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
travas,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
travessa,10,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[17, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111100001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
traz,16,"[0, 1, 4, 6, 11, 23, 25, 51, 52, 53, 57, 58, 67, 73, 92, 100]","[0, 1, 3, 2, 5, 12, 2, 26, 1, 1, 4, 1, 9, 6, 19, 8]","[0, 0, 101, 100, 11001, 1110100, 100, 111101010, 0, 0, 11000, 0, 1110001, 11010, 111100011, 1110000]"
traça,11,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38]","[27, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[111101011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100]"
traço,3,"[5, 6, 89]","[5, 1, 83]","[11001, 0, 1111110010011]"
tributário,12,"[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[37, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111000101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
trilha,8,"[8, 64, 65, 66, 67, 68, 69, 70]","[8, 56, 1, 1, 1, 1, 1, 1]","[1110000, 11111011000, 0, 0, 0, 0, 0, 0]"
trilogia,11,"[54, 55, 82, 84, 85, 86, 87, 90, 91, 93, 94]","[54, 1, 27, 2, 1, 1, 1, 3, 1, 2, 1]","[11111010110, 0, 111101011, 100, 0, 0, 0, 101, 0, 100, 0]"
trip,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
triste,2,"[0, 49]","[0, 49]","[0, 11111010001]"
troca,51,"[5, 9, 10, 11, 12, 13, 14, 15, 16, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[5, 4, 1, 1, 1, 1, 1, 1, 1, 21, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11001, 11000, 0, 0, 0, 0, 0, 0, 0, 111100101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
trocados,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
trocar,9,"[9, 10, 11, 12, 13, 14, 15, 16, 91]","[9, 1, 1, 1, 1, 1, 1, 1, 75]","[1110001, 0, 0, 0, 0, 0, 0, 0, 1111110001011]"
trono,4,"[94, 96, 98, 99]","[94, 2, 2, 1]","[1111110011110, 100, 100, 0]"
trás,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 83, 89, 94, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 75, 6, 5, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1111110001011, 11010, 11001, 11011]"
trânsito,12,"[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[37, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111000101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
três,16,"[0, 1, 3, 4, 5, 6, 7, 8, 12, 24, 50, 60, 68, 76, 88, 93]","[0, 1, 2, 1, 1, 1, 1, 1, 4, 12, 26, 10, 8, 8, 12, 5]","[0, 0, 100, 0, 0, 0, 0, 0, 11000, 1110100, 111101010, 1110010, 1110000, 1110000, 1110100, 11001]"
tudo,36,"[0, 1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 24, 49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 94, 95, 101]","[0, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 25, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 6]","[0, 0, 0, 101, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110000, 111101001, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 11010]"
tuitar,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
turismo,22,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[17, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111100001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
turquesa,5,"[83, 85, 86, 89, 90]","[83, 2, 1, 3, 1]","[1111110010011, 100, 0, 101, 0]"
turquia,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
tuuudo,5,"[83, 85, 86, 89, 90]","[83, 2, 1, 3, 1]","[1111110010011, 100, 0, 101, 0]"
tweet,12,"[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[37, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111000101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
twitter,31,"[71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[71, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110000111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
